State,Code,Result URL
Andaman & Nicobar Islands,U01,https://results.eci.gov.in/PcResultGenJune2024/partywiseresult-U01.htm
Andhra Pradesh,S01,https://results.eci.gov.in/PcResultGenJune2024/partywiseresult-S01.htm
Arunachal Pradesh,S02,https://results.eci.gov.in/PcResultGenJune2024/partywiseresult-S02.htm
Assam,S03,https://results.eci.gov.in/PcResultGenJune2024/partywiseresult-S03.htm
Bihar,S04,https://results.eci.gov.in/PcResultGenJune2024/partywiseresult-S04.htm
Chandigarh,U02,https://results.eci.gov.in/PcResultGenJune2024/partywiseresult-U02.htm
Chhattisgarh,S26,https://results.eci.gov.in/PcResultGenJune2024/partywiseresult-S26.htm
Dadra & Nagar Haveli and Daman & Diu,U03,https://results.eci.gov.in/PcResultGenJune2024/partywiseresult-U03.htm
Goa,S05,https://results.eci.gov.in/PcResultGenJune2024/partywiseresult-S05.htm
Gujarat,S06,https://results.eci.gov.in/PcResultGenJune2024/partywiseresult-S06.htm
Haryana,S07,https://results.eci.gov.in/PcResultGenJune2024/partywiseresult-S07.htm
Himachal Pradesh,S08,https://results.eci.gov.in/PcResultGenJune2024/partywiseresult-S08.htm
Jammu and Kashmir,U08,https://results.eci.gov.in/PcResultGenJune2024/partywiseresult-U08.htm
Jharkhand,S27,https://results.eci.gov.in/PcResultGenJune2024/partywiseresult-S27.htm
Karnataka,S10,https://results.eci.gov.in/PcResultGenJune2024/partywiseresult-S10.htm
Kerala,S11,https://results.eci.gov.in/PcResultGenJune2024/partywiseresult-S11.htm
Ladakh,U09,https://results.eci.gov.in/PcResultGenJune2024/partywiseresult-U09.htm
Lakshadweep,U06,https://results.eci.gov.in/PcResultGenJune2024/partywiseresult-U06.htm
Madhya Pradesh,S12,https://results.eci.gov.in/PcResultGenJune2024/partywiseresult-S12.htm
Maharashtra,S13,https://results.eci.gov.in/PcResultGenJune2024/partywiseresult-S13.htm
Manipur,S14,https://results.eci.gov.in/PcResultGenJune2024/partywiseresult-S14.htm
Meghalaya,S15,https://results.eci.gov.in/PcResultGenJune2024/partywiseresult-S15.htm
Mizoram,S16,https://results.eci.gov.in/PcResultGenJune2024/partywiseresult-S16.htm
Nagaland,S17,https://results.eci.gov.in/PcResultGenJune2024/partywiseresult-S17.htm
NCT OF Delhi,U05,https://results.eci.gov.in/PcResultGenJune2024/partywiseresult-U05.htm
Odisha,S18,https://results.eci.gov.in/PcResultGenJune2024/partywiseresult-S18.htm
Puducherry,U07,https://results.eci.gov.in/PcResultGenJune2024/partywiseresult-U07.htm
Punjab,S19,https://results.eci.gov.in/PcResultGenJune2024/partywiseresult-S19.htm
Rajasthan,S20,https://results.eci.gov.in/PcResultGenJune2024/partywiseresult-S20.htm
Sikkim,S21,https://results.eci.gov.in/PcResultGenJune2024/partywiseresult-S21.htm
Tamil Nadu,S22,https://results.eci.gov.in/PcResultGenJune2024/partywiseresult-S22.htm
Telangana,S29,https://results.eci.gov.in/PcResultGenJune2024/partywiseresult-S29.htm
Tripura,S23,https://results.eci.gov.in/PcResultGenJune2024/partywiseresult-S23.htm
Uttar Pradesh,S24,https://results.eci.gov.in/PcResultGenJune2024/partywiseresult-S24.htm
Uttarakhand,S28,https://results.eci.gov.in/PcResultGenJune2024/partywiseresult-S28.htm
West Bengal,S25,https://results.eci.gov.in/PcResultGenJune2024/partywiseresult-S25.htm
